text,1,2,3,4,5,ΠΟΙΚΙΛΙΑ,ΠΟΙΚΙΛΙΑ_NORMALIZED
"Και πριν αυτος παυση λαλων , ιδου , εξηρχετο η Ρεβεκκα , ητις εγεννηθη εις τον Βαθουηλ , υιον της Μελχας , γυναικος του Ναχωρ , αδελφου του Αβρααμ , εχουσα την υδριαν αυτης επι του ωμου αυτης .",-16.040191650390625,0.7466745376586914,8.190217971801758,-9.984832763671877,-26.4932861328125,ΚΑΘΑΡΕΥΟΥΣΑ,Καθαρεύουσα
"Και την τριτην ημεραν , ημεραν των γενεθλιων του Φαραω , εκαμε συμποσιον εις παντας τους δουλους αυτου και υψωσε την κεφαλην του αρχιοινοχοου και την κεφαλην του αρχισιτοποιου μεταξυ των δουλων αυτου .",-10.9278564453125,-0.9938850402832032,5.707010269165039,-8.580276489257812,-30.5111083984375,ΚΑΘΑΡΕΥΟΥΣΑ,Καθαρεύουσα
"Οι οφθαλμοι σας ειδον τι εκαμεν ο Κυριος εξ αιτιας του Βεελ-φεγωρ διοτι παντας τους ανθρωπους , οιτινες ηκολουθησαν τον Βεελ-φεγωρ , Κυριος ο Θεος σας εξωλοθρευσεν αυτους εκ μεσου υμων .",-11.08319091796875,-0.8250894546508789,4.10395622253418,-13.183258056640623,-22.8704833984375,ΚΑΘΑΡΕΥΟΥΣΑ,Καθαρεύουσα
"Και εβοησεν ο Αχιμαας και ειπε προς τον βασιλεα , Χαιρε. και προσεκυνησε τον βασιλεα κατα προσωπον αυτου εως εδαφους και ειπεν , Ευλογητος Κυριος ο Θεος σου , οστις παρεδωκε τους ανθρωπους , τους σηκωσαντας την χειρα αυτων κατα του κυριου μου του βασιλεως .",-13.251968383789062,-0.657799243927002,4.66505241394043,-9.652122497558594,-27.5399169921875,ΚΑΘΑΡΕΥΟΥΣΑ,Καθαρεύουσα
"Και ηλθε Σαφαν ο γραμματευς προς τον βασιλεα και ανεφερε λογον προς τον βασιλεα και ειπεν , Οι δουλοι σου εσυναξαν το αργυριον το ευρεθεν εν τω οικω , και παρεδωκαν αυτο εις την χειρα των ποιουντων τα εργα , των επιστατουντων εις τον οικον του Κυριου",-10.78192138671875,-0.6886096000671387,3.8764820098876953,-10.166984558105469,-31.9686279296875,ΚΑΘΑΡΕΥΟΥΣΑ,Καθαρεύουσα
"Τοτε εσηκωθησαν οι αρχηγοι των πατριων του Ιουδα και του Βενιαμιν και οι ιερεις και οι Λευιται , μετα παντων οσων το πνευμα διηγειρεν ο Θεος εις το να αναβωσι δια να οικοδομησωσι τον οικον του Κυριου , τον εν Ιερουσαλημ",-10.287887573242188,-1.609156608581543,3.777997970581055,-9.11469268798828,-36.64208984375,ΚΑΘΑΡΕΥΟΥΣΑ,Καθαρεύουσα
"Η Εσθηρ δεν εφανερωσε την συγγενειαν αυτης ουτε τον λαον αυτης , καθως προσεταξεν εις αυτην ο Μαροδοχαιος διοτι η Εσθηρ εκαμνε την προσταγην του Μαροδοχαιου , καθως οτε ανετρεφετο πλησιον αυτου .",-11.145553588867188,-1.1510653495788574,4.261785507202148,-9.595718383789062,-36.4766845703125,ΚΑΘΑΡΕΥΟΥΣΑ,Καθαρεύουσα
"Και ευρον οτι πικροτερα ειναι παρα θανατον η γυνη , της οποιας η καρδια ειναι παγιδες και δικτυα και αι χειρες αυτης δεσμα ο αρεστος ενωπιον του Θεου θελει εκφυγει απ αυτης ο δε αμαρτωλος θελει συλληφθη εν αυτη .",-13.259445190429688,2.8319249153137207,6.204679489135742,-20.14129638671875,-27.1884765625,ΚΑΘΑΡΕΥΟΥΣΑ,Καθαρεύουσα
"Και ουτω θελει προσμεινει ο Κυριος δια να σας ελεηση , και ουτω θελει υψωθη δια να σας οικτειρηση διοτι ο Κυριος ειναι Θεος κρισεως μακαριοι παντες οι προσμενοντες αυτον .",-15.395736694335938,0.0303640365600585,4.805974960327148,-10.201400756835938,-22.29248046875,ΚΑΘΑΡΕΥΟΥΣΑ,Καθαρεύουσα
"Και θελω συντριψει αυτους μετ αλληλων , και τους πατερας και τους υιους ομου , λεγει Κυριος δεν θελω σπλαγχνισθη ουδε φεισθη ουδε ελεησει , αλλα θελω εξολοθρευσει αυτους .",-11.052993774414062,0.5688343048095703,-1.5961894989013672,-20.67737579345703,-22.0758056640625,ΚΑΘΑΡΕΥΟΥΣΑ,Καθαρεύουσα
